214, 261, 142, 256
215, 173,  65,  64
216, 173,  64,  88
217, 321, 287, 175
218, 174,  68,  67
219, 287, 176, 175
220, 175,  69,  68
221, 292, 178, 177
222, 176,  70,  69
223, 311, 176, 287
224, 177,  71,  70
225, 293, 178, 292
226, 178,  72,  71
227, 294, 179, 293
228, 179,  73,  72
229, 295, 180, 294
230, 180,  74,  73
231, 405, 358, 345
232, 181,  75,  74
233, 296, 182, 288
234, 182,  76,  75
235, 219, 218,  21
236, 183,  77,  76
237, 220, 219,  22
238, 184,  78,  77
239, 221, 220,  23
240, 185,  79,  78
241, 186, 108, 107
242, 186, 107,  63
243, 312, 297, 187
244, 187, 109, 108
245, 298, 188, 297
246, 188, 110, 109
247, 299, 189, 298
248, 189, 111, 110
249, 300, 190, 299
250, 190, 112, 111
251, 245,  43, 231
252, 191, 113, 112
253, 230,  41, 229
254, 192, 114, 113
255, 229,  40, 228
256, 193, 115, 114
257, 228,  39, 227
258, 194, 116, 115
259, 227,  38, 226
260, 195, 117, 116
261, 226,  37, 215
262, 196, 118, 117
263, 423, 413, 355
264, 197, 119, 118
265, 302, 198, 301
266, 198, 120, 119
267, 303, 199, 302
268, 199, 121, 120
269, 423, 403, 303
270, 200, 122, 121
271, 241, 221,  24
272, 201,  80,  79
273, 322, 202, 315
274, 202,  81,  80
275, 323, 203, 322
276, 203,  82,  81
277, 324, 204, 323
278, 204,  83,  82
279, 450, 427, 365
280, 205,  84,  83
281, 525, 284, 152
282, 206,  85,  84
283, 525, 253,  86
284, 207,  86,  85
285, 313, 200, 303
286, 208, 123, 122
287, 318, 209, 208
288, 209, 124, 123
289, 379, 376, 257
290, 210, 125, 124
291, 257, 256, 143
292, 211, 126, 125
293, 433, 325, 318
294, 212, 127, 126
295, 526, 258, 145
296, 213, 128, 127
297, 526, 252, 129
298, 214, 129, 128
299, 215,  37,  36
300, 413, 301, 407
301, 216,  12,  11
302, 233,  11,  10
303, 217,  15,  14
304, 235,  14,  13
305, 218,  20,  21
306, 219,  21,  22
307, 220,  22,  23
308, 414, 289, 406
309, 221,  23,  24
310, 414, 404, 290
311, 241,  24,  25
312, 437, 310, 404
313, 222,  29,  30
314, 223,  30,  31
315, 224,  31,  32
316, 388, 264, 382
317, 225,  32,  33
318, 389, 265, 388
319, 243,  33,  34
320, 390, 266, 389
321, 304, 301, 197
322, 226,  38,  37
323, 305, 304, 196
324, 227,  39,  38
325, 306, 305, 195
326, 228,  40,  39
327, 307, 306, 194
328, 229,  41,  40
329, 308, 307, 193
330, 230,  42,  41
331, 309, 191, 300
332, 231,  43,  42
333, 356, 332, 232
334, 343, 233, 332
335, 233, 216,  11
336, 233,  10, 232
337, 441, 440, 344
338, 498, 497, 466
339, 235, 217,  14
340, 235,  13, 234
341, 286, 171, 283
342, 246,  16, 236
343, 237, 133,  18
344, 239,  19,  20
345, 238, 134,  27
346, 240,  28,  29
347, 296, 289, 183
348, 420, 349, 406
349, 278, 264, 158
350, 395, 350, 382
351, 242,  25,  26
352, 437, 430, 315
353, 431, 322, 430
354, 435, 431, 359
355, 244,  34,  35
356, 391, 267, 390
357, 400, 280, 386
358, 400, 386, 360
359, 415, 309, 300
360, 245, 137,  44
361, 445, 348, 443
362, 246, 138,  17
363, 247, 131,   3
364, 247,   3, 134
365, 248,   4, 137
366, 416, 299, 298
367, 454,   1, 249
368, 249,   1, 133
369, 250,   2, 138
370, 453, 362, 445
371, 251,  62, 141
372, 312, 141, 255
373, 252, 130, 129
374, 526, 129, 214
375, 253,  87,  86
376, 525,  86, 207
377, 291,  66,  65
378, 367, 148, 273
379, 455, 312, 255
380, 255, 141, 140
381, 469, 460, 377
382, 256, 142, 143
383, 258, 257, 144
384, 320, 258, 214
385, 258, 144, 145
386, 320, 214, 213
387, 259, 153, 139
388, 284, 259, 139
389, 268, 165, 164
390, 378, 260, 375
391, 362, 246, 348
392, 261, 172, 142
393, 393, 385, 274
394, 262, 150, 166
395, 263, 157, 156
396, 277, 156, 155
397, 264, 159, 158
398, 278, 158, 157
399, 389, 388, 341
400, 265, 160, 159
401, 390, 389, 342
402, 266, 161, 160
403, 391, 390, 352
404, 267, 162, 161
405, 280, 164, 163
406, 400, 363, 375
407, 281, 167, 151
408, 392, 383, 269
409, 270, 151, 168
410, 285, 168, 169
411, 271, 146, 170
